address,price,dong_may,cpu,ram,o_cung,man_hinh,card_man_hinh,kich_thuoc,khoi_luong,pin,he_dieu_hanh,do_phan_giai
https://phongvu.vn/may-tinh-xach-tay-laptop-hp-envy-x360-13-bf0114tu-7c0p0pa-i5-1230u-bac--s221201225,28790000,HP,Intel Core i5-1230U,8GB Onboard,512GB SSD M.2 NVMe,13.3 inch,Onboard  Intel Iris Xe Graphics,29.83 x 21.49 x 1.61 cm,1.3,4 cell,Windows 11 Home,2880 x 1800
https://phongvu.vn/hp-240-g9-6l273pa-i5-1240p--s221200160,18190000,HP,Intel Core i5-1240P,1 x 8GB,256GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,32.4 x 22.59 x 1.99 cm,1.5,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-dell-inspiron-15-3520-3520-71003264-i3-1215u-bac--s221200260,15990000,Dell,Intel Core i3-1215U,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel UHD Graphics,35.8 x 23.5 x 1.9 cm,1.9,3 cell,Windows 11 Home SL + Office Home & Student 2021,1920 x 1080
https://phongvu.vn/hp-pavilion-15-eg2089tu-7c0r1pa--s221200065,23990000,HP,Intel Core i7-1260P,2 x 4GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,36.02 x 23.4 x 1.79 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-pavilion-15-eg2088tu-7c0r0pa--s221200064,25290000,HP,Intel Core i7-1260P,2 x 8GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,36.02 x 23.4 x 1.79 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-pavilion-15-eg2065tx-7c0q3pa--s221200069,20390000,HP,Intel Core i5-1235U,1 x 8GB,256GB SSD M.2 NVMe,15.6 inch,GeForce MX550  2GB  GDDR6 / Intel Iris Xe Graphics,36.02 x 23.4 x 1.79 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-pavilion-15-eg2064tx-7c0w8pa--s221200067,20390000,HP,Intel Core i5-1235U,1 x 8GB,256GB SSD M.2 NVMe,15.6 inch,GeForce MX550  2GB  GDDR6 / Intel Iris Xe Graphics,36.02 x 23.4 x 1.79 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-pavilion-15-eg2081tu-7c0q4pa--s221200070,20990000,HP,Intel Core i5-1240P,2 x 8GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,36.02 x 23.4 x 1.79 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-pavilion-15-eg2086tu-7c0q8pa--s221200073,15290000,HP,Intel Core i3-1215U,2 x 4GB,256GB SSD M.2 NVMe,15.6 inch,Onboard  Intel UHD Graphics,36.02 x 23.4 x 1.79 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-15s-fq2712tu--s221101761,12690000,HP,Intel Core i3-1115G4,1 x 8GB,256GB SSD M.2 NVMe,15.6 inch,Onboard  Intel UHD Graphics,35.85 x 24.2 x 1.79 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-pavilion-15-eg2087tu-7c0q9pa--s221200074,15290000,HP,Intel Core i3-1215U,2 x 4GB,256GB SSD M.2 NVMe,15.6 inch,Onboard  Intel UHD Graphics,36.02 x 23.4 x 1.79 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-hp-15s-fq5161tu-core-i5-1235u--s221101763,18690000,HP,Intel Core i5-1235U,2 x 4GB,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,35.85 x 24.2 x 1.79 cm,1.7,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-pavilion-14-dv2074tu--s221101771,19690000,HP,Intel Core i5-1235U,2 x 4GB,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,32.5 x 21.66 x 1.70 cm,1.4,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-pavilion-14-dv2071tu--s221101775,25190000,HP,Intel Core i7-1255U,2 x 8GB,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,32.5 x 21.66 x 1.70 cm,1.4,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-pavilion-14-dv2072tu--s221101776,23890000,HP,Intel Core i7-1255U,2 x 4GB,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,32.5 x 21.66 x 1.70 cm,1.4,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/hp-victus-16-e1106ax-7c0t1pa-amd-ryzen-5-6600h--s221101324,26490000,HP,AMD Ryzen 5 6600H,1 x 8GB,512GB SSD M.2 NVMe,16.1 inch,RTX 3050Ti  4GB  GDDR6 / AMD Radeon 660M,37 x 26 x 2.35 cm,2.5,4 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/laptop-hp-240-g9-6l1y2pa-i5-1235u-bac--s221100543,18790000,HP,Intel Core i5-1235U,1 x 8GB,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,32.4 x 22.59 x 1.99 cm,1.4,3 cell,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-msi-modern-15-b12m-220vn-i5-1235u-den--s221100415,18490000,MSI,Intel Core i5-1235U,8GB Onboard,512GB SSD M.2 NVMe,15.6 inch,Onboard  Intel Iris Xe Graphics,35.4 x 24.1 x 1.99 ~ 2.07 cm,1.7,3 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/hp-envy-x360-13-bf0096tu-76b16pa--s221003310,27690000,HP,Intel Core i5-1230U,8GB Onboard,512GB SSD M.2 NVMe,13.3 inch,Onboard  Intel Iris Xe Graphics,29.83 x 21.49 x 1.61 cm,1.3,4 cell,Windows 11 Home SL,2880 x 1800
https://phongvu.vn/may-tinh-xach-tay-laptop-gigabyte-g5-me-51vn263sh-i5-12500h-den--s221002062,27090000,GIGABYTE,Intel Core i5-12500H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 3050Ti  4GB  GDDR6 / Intel Iris Xe Graphics,36.0 x 23.8 x  23.9 Cm,2,54 Wh  Pin liền,Windows 11 Home SL,1920 x 1080
https://phongvu.vn/dell-inspiron-15-3520-i5-70296960--s221001003,22390000,Dell,Intel Core i5-1235U,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,GeForce MX550  2GB  GDDR6 / Intel Iris Xe Graphics,35.8 x 23.5 x 1.75 Cm,1.9,3 cell,Windows 11 Home SL + Office Home & Student 2021,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-5-pro-16iah7h-82rf0046vn-i7-12700h-trang--s221000529,46990000,Lenovo,Intel Core i7-12700H,2 x 8GB,512GB SSD M.2 NVMe,16 inch,RTX 3060  6GB  GDDR6 / Intel Iris Xe Graphics,35.99 x 26.44 x 1.99 cm,2.5,4 cell,Windows 11 Home,2560 x 1600
